field,mean_before,median_before,mean_after,median_after
lower_dm,473.2593688964844,304.0,397.4201354980469,219.57470703125
upper_dm,2536.896240234375,2572.800048828125,2536.896240234375,2572.800048828125
historical_dm,1415.511474609375,1260.900146484375,1380.3289794921875,1238.239990234375
historical_kcal,2135901.0,1720201.5,2076423.75,1686451.25
labour_days,48.31321334838867,34.5,48.3132209777832,34.5
kcal_per_worker_day,44254.23828125,39668.52734375,43269.67578125,38960.46875
management_position,0.4445110261440277,0.449999988079071,0.4445110261440277,0.449999988079071
